refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Pici 2,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 1,2026-05-04,Almoço,PV,Picadinho com Legumes,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-05
Pici 1,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Porangabussu,2026-05-04,Almoço,PV,Picadinho com Legumes,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-04,Almoço,PV,Picadinho com Legumes,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Pici 2,2026-05-04,Almoço,PV,Picadinho com Legumes,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,P2,2026-05
Pici 2,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Benfica,2026-05-04,Almoço,PV,Picadinho com Legumes,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Jantar,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Jantar,PB,Fricassê de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Jantar,VEG,Salpicão vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 1,2026-05-04,Jantar,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-04,Jantar,PB,Fricassê de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-04,Jantar,VEG,Salpicão vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Benfica,2026-05-05,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 2,2026-05-05,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Labomar,2026-05-04,Almoço,PV,Picadinho com Legumes,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,L,2026-05
Labomar,2026-05-04,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Labomar,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Pici 1,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Porangabussu,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Pici 1,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,5.0,5.0,4.0,4.0,9.0,Av. Sensorial,P1,2026-05
Pici 2,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 1,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Almoço,PB,Isca de Frango com Ervas,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Benfica,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Almoço,PV,Picadinho com Legumes,2.0,3.0,3.0,3.0,3.0,5.4,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Almoço,PB,Sobrecoxa Assada,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-05
Benfica,2026-05-04,Almoço,VEG,Macarronada Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 1,2026-05-05,Jantar,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-05,Jantar,VEG,Hambúrguer de Soja,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Benfica,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Jantar,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-05,Jantar,VEG,Hambúrguer de Soja,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Café,ESPECIAL,Ovos Mexidos,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Café,ESPECIAL VEG,Pasta de Amendoim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 2,2026-05-06,Café,ESPECIAL,Ovos Mexidos,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-06,Café,ESPECIAL VEG,Pasta de Amendoim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-06,Café,ESPECIAL,Ovos Mexidos,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Labomar,2026-05-05,Almoço,PV,Cubo Suíno à Carioca,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Labomar,2026-05-05,Almoço,PB,Isca de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Labomar,2026-05-05,Almoço,VEG,Vatapá Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Pici 1,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 2,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Porangabussu,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Benfica,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 1,2026-05-06,Jantar,PV,Isca de Carne ao M. Tomate,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Jantar,PB,Cubos de Frango Acebolado,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-05
Pici 1,2026-05-06,Jantar,VEG,Panqueca Vegana ao Molho Branco,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Benfica,2026-05-06,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Jantar,PV,Isca de Carne ao M. Tomate,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Jantar,PB,Cubos de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-06,Jantar,VEG,Panqueca Vegana ao Molho Branco,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Café,ESPECIAL VEG,Similar a Iogurte Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 2,2026-05-07,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Café,ESPECIAL VEG,Similar a Iogurte Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Almoço,PB,Estrogonofe de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 1,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,PB,Estrogonofe de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,PB,Estrogonofe de Frango,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 2,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Almoço,PB,Estrogonofe de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Benfica,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Almoço,PB,Estrogonofe de Frango,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,3.0,4.0,4.0,4.0,7.6,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Almoço,PB,Estrogonofe de Frango,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Porangabussu,2026-05-07,Almoço,PV,Carne Moída Refogada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-07,Almoço,PB,Estrogonofe de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-07,Almoço,VEG,Refogado de Lentilha,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-05
Pici 1,2026-05-07,Jantar,PV,Cubos de Carne ao M. Madeira,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Jantar,PB,Peixe à Delícia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-07,Jantar,VEG,Suflê de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Benfica,2026-05-07,Jantar,PV,Cubos de Carne ao M. Madeira,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Jantar,PB,Peixe à Delícia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-07,Jantar,VEG,Suflê de Legumes,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Café,ESPECIAL,Frango Desfiado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Café,ESPECIAL VEG,Geleia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 2,2026-05-08,Café,ESPECIAL,Frango Desfiado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-08,Café,ESPECIAL,Frango Desfiado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-08,Café,ESPECIAL VEG,Geleia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Benfica,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 1,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Porangabussu,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-05
Porangabussu,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-05
Pici 1,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,3.0,3.0,4.0,4.0,7.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 2,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Benfica,2026-05-08,Jantar,PV,Torta de Calabresa,3.0,4.0,3.0,4.0,3.0,6.8,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Jantar,PB,Cubos de Frango ao M. Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-08,Jantar,VEG,Torta de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 1,2026-05-08,Jantar,PV,Torta de Calabresa,3.0,4.0,3.0,4.0,3.0,6.8,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Jantar,PB,Cubos de Frango ao M. Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-08,Jantar,VEG,Torta de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Labomar,2026-05-08,Almoço,PV,Carne de Sol Acebolada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Labomar,2026-05-08,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Labomar,2026-05-08,Almoço,VEG,Assado de Grão de Bico com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-05
Benfica,2026-05-11,Café,ESPECIAL,Mingau ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Benfica,2026-05-11,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 2,2026-05-11,Café,ESPECIAL,Mingau ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-11,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 1,2026-05-11,Almoço,PV,Estrogonofe de Carne,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,P1,2026-05
Pici 1,2026-05-11,Almoço,PB,Cubos de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Pici 1,2026-05-11,Almoço,VEG,Risoto de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-05
Benfica,2026-05-11,Almoço,PV,Estrogonofe de Carne,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,B,2026-05
Benfica,2026-05-11,Almoço,PB,Cubos de Frango com Ervas,4.0,3.0,3.0,4.0,3.0,6.8,Av. Sensorial,B,2026-05
Benfica,2026-05-11,Almoço,VEG,Risoto de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-05
Pici 2,2026-05-11,Almoço,PV,Estrogonofe de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-11,Almoço,PB,Cubos de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-11,Almoço,VEG,Risoto de Lentilha,4.0,3.0,4.0,4.0,4.0,7.6,Av. Sensorial,P2,2026-05
Pici 2,2026-05-11,Almoço,PV,Estrogonofe de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-11,Almoço,PB,Cubos de Frango com Ervas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
Pici 2,2026-05-11,Almoço,VEG,Risoto de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-05
