refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Porangabussu,2026-03-04,Almoço,VEG,Bobó de Legumes,3.0,4.0,3.0,4.0,4.0,6.8,Av. Sensorial,PO,2026-03
Pici 2,2026-03-04,Almoço,PV,Feijoada,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P2,2026-03
Pici 2,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 2,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-03
Pici 1,2026-03-04,Jantar,PV,Assado de Panela,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-03
Pici 1,2026-03-04,Jantar,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-04,Jantar,VEG,Lasanha de Batatas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Benfica,2026-03-04,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Jantar,PV,Assado de Panela,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Jantar,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Jantar,VEG,Lasanha de Batatas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Jantar,PV,Assado de Panela,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Jantar,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Jantar,VEG,Lasanha de Batatas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Pici 1,2026-03-04,Jantar,PV,Assado de Panela,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-03
